typ,datum,veranstaltung,uhrzeit,beschreibung,eingeplant,mitarbeiter,personalnummer,austrittsdatum,telefon,kommentar
Keine Anfragen,Mo. 01.12.25,,,Keine Anfragen am Mo. 01.12.25,,"Zech, Robert",1655,03.11.2025,+491735496168,
Keine Anfragen,Mo. 01.12.25,,,Keine Anfragen am Mo. 01.12.25,,"Zech, Stefan",1465555,03.11.2025,+4915165251198,
Keine Anfragen,Mo. 01.12.25,,,Keine Anfragen am Mo. 01.12.25,,"Zech, Jenna",14455655,03.11.2025,+4915168403626,
Keine Anfragen,Mo. 01.12.25,,,Keine Anfragen am Mo. 01.12.25,,"Zech, Günter",1465455,03.11.2025,+4915172806128,
Keine Anfragen,Mo. 01.12.25,,,Keine Anfragen am Mo. 01.12.25,,"Geschäft, Stefan",1465655,03.11.2025,+491733684125,
Keine Anfragen,Mo. 01.12.25,,,Keine Anfragen am Mo. 01.12.25,,"Geschäft, Julian",14644444455,03.11.2025,+491736398216,
Keine Anfragen,Mo. 01.12.25,,,Keine Anfragen am Mo. 01.12.25,,"Geschäft, Arijana",146554445,03.11.2025,+4915161513168,



